No.,Tweet ID
0,[['1382654196932050954']]
1,[['1381680247540711438']]
2,[['1382346373174075404']]
3,[['1382746756652367873']]
4,[['1382987315962908674']]
5,[['1381201346498547712']]
6,[['1381892875538071553']]
7,[['1382979149342605313']]
8,[['1381179223352733699']]
9,[['1382604484887654400']]
10,[['1381457223075909637']]
11,[['1382440540130713601']]
12,[['1381995089652822025']]
13,[['1380762344226238467']]
14,[['1381333594052919297']]
15,[['1382900537692200960']]
16,[['1381988621910212611']]
17,[['1382919065249980419']]
18,[['1381204957924315140']]
19,[['1382647942599823360']]
20,[['1382657725667053574']]
21,[['1382955807134912513']]
22,[['1381577518638043141']]
23,[['1382835674492121091']]
24,[['1381913979505799170']]
25,[['1383072199733547009']]
26,[['1382982103965388804']]
27,[['1382453507203092484']]
28,[['1382553786045001731']]
29,[['1381888623449083906']]
30,[['1381509802765979650']]
31,[['1383048462753800195']]
32,[['1382956986187313152']]
33,[['1382338715452895232']]
34,[['1383157824411303943']]
35,[['1380858857250029571']]
36,[['1382364254418898956']]
37,[['1382979872117682177']]
38,[['1381993436375621633']]
39,[['1381932131040047111']]
40,[['1382743820639551494']]
41,[['1382688097331216391']]
42,[['1381925824773898240']]
43,[['1381982658117439488']]
44,[['1382185459145699329']]
45,[['1381232983328325632']]
46,[['1381714511636406276']]
47,[['1382199993868640258']]
48,[['1381311137740902401']]
49,[['1381444041968132105']]
50,[['1381130353516146690']]
51,[['1382252310361993217']]
52,[['1382852751718223873']]
53,[['1380931828756848640']]
54,[['1381176363298738176']]
55,[['1382225598047719425']]
56,[['1380815657986572289']]
57,[['1380863383780655109']]
58,[['1381829849682214912']]
59,[['1381965869102731267']]
60,[['1382943604499435520']]
61,[['1380901925122621443']]
62,[['1382900947710398467']]
63,[['1382991609994866690']]
64,[['1381183749229051915']]
65,[['1381253281062731783']]
66,[['1382935789294718976']]
67,[['1381995593321578498']]
68,[['1380807198645829632']]
69,[['1382392572233023492']]
70,[['1382725812323950592']]
71,[['1382242225455824896']]
72,[['1382076707629375488']]
73,[['1381995088096677889']]
74,[['1381551360156565510']]
75,[['1383085557253832709']]
76,[['1382239416433975296']]
77,[['1381211224550047748']]
78,[['1381150990058070016']]
79,[['1381329562403999747']]
80,[['1381326032758841345']]
81,[['1382750741337677828']]
82,[['1381865449034498055']]
83,[['1381977114333704197']]
84,[['1382778434246561795']]
85,[['1382375444402614272']]
86,[['1381608952648110085']]
87,[['1382333231291379720']]
88,[['1383037716384858115']]
89,[['1381173611063619585']]
90,[['1382558187652538370']]
91,[['1382238800563347457']]
92,[['1381390823095480322']]
93,[['1382628068662054917']]
94,[['1382426508183142401']]
95,[['1381916501192638470']]
96,[['1380849758135328776']]
97,[['1382043267395633158']]
98,[['1381637989718188032']]
99,[['1382573843726934016']]
